Record #,Code / Description,Responsible Party,Unit,Correction Required By:,Status,Picture
HSNG-25-93,"",Tenant,"","",Cited,1317365
HSNG-25-92,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Smoke and CO detector missing in front hallway)",Owner,"",07/23/2025,Cited,1313560
HSNG-25-92,(Smoke and CO detector missing in living room),Owner,"",07/23/2025,Cited,1313562
HSNG-25-92,(Smoke and CO detector missing bottom of stairs in basement),Owner,"",07/23/2025,Cited,1313565
HSNG-25-92,(CO detector missing on second floor smoke detector present but is not a combo),Owner,"",07/23/2025,Cited,1313566
HSNG-25-85, 105.CMR.410.003 ( C )(No electricity for entire first floor dwelling),Owner,"",07/11/2025,Corrected,1311059
HSNG-25-85," 105.CMR.410.260 (B)(Basement egress is obstructed, door boarded shut)",Owner,"",07/11/2025,Cited,1311060
HSNG-25-86,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A)Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.(Missing smoke and CO detector in first floor rear hallway),Owner,"",07/21/2025,Corrected,1315112
HSNG-25-86,(Missing smoke and CO detector in basement at bottom of stairs),Owner,"",07/21/2025,In Progress,1312967
HSNG-25-86,(Missing smoke and CO detector in basement next to water heater),Owner,"",07/21/2025,Corrected,1315108
HSNG-25-86,(Smoke CO detector in first floor front hallway is not working),Owner,"",07/21/2025,Corrected,1315110
HSNG-25-86,(Smoke detector in living room is working but is not a combination smoke and CO detector),Owner,First floor,07/21/2025,Corrected,1315111
HSNG-25-81, 105.CMR.410.500 (A) 1(Active leak coming from ceiling),Owner,"",07/14/2025,Corrected,1311588
HSNG-25-78,"MAINTENANCE OF LAND  105.CMR.410.570 (A) (COULD BE 1,2,3,4,5)",Tenant,2,07/10/2025,Cited,1310576
HSNG-25-77,"105.CMR.410.003 ( C )(Majority of dwelling unit lacks electricity, inoperable outlets and lights)",Owner,"",07/11/2025,Corrected,1310601
HSNG-25-77,"105.CMR.410.003 ( C )(Majority of dwelling unit lacks electricity, inoperable outlets and lights)",Owner,"",07/11/2025,Corrected,1310603
HSNG-25-77,"105.CMR.410.003 ( C )(Majority of dwelling unit lacks electricity, inoperable outlets and lights)",Owner,"",07/11/2025,Corrected,1310604
HSNG-25-74,Water temperature 59.5 @ time of inspection.,Owner,"",07/09/2025,Cited,1310303
HSNG-25-74,105CMR.410.150 Hot Water( water temperature 59.7),Owner,"",07/09/2025,Cited,1310304
HSNG-25-70,"105 CMR 410.235: Owner’s Installation and Maintenance Responsibilities(A,13)(Missing smoke detector third floor landings front and back halls, also detectors front and back common halls not working)",Owner,"","",Corrected,1311170
HSNG-25-62,"lMMEDIATE CONDEMNATION ENTIRE DWELLING DUE TO FIRE105 CMR410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety(A,3,10,12,13)",Owner,"","",Cited,""
HSNG-25-38,105.CMR.410.330: Smoke Detectors and Carbon Monoxide Alarms(A)(No smoke detectors),Owner,"","",Corrected,1310690
HSNG-25-34,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.",Owner,"","",Cited,1311385
HSNG-25-34,"",Owner,"","",Cited,1311386
HSNG-25-34,"",Owner,"","",Cited,1311387
HSNG-25-34,"",Owner,"","",Cited,1311388
HSNG-25-1, 105.CMR.410.500 (A) 2  Owners Responsibility to Maintain Building and Structural Elements   ( STRUCTURAL MEMBES ARE UNSOUND: Foundation is crumbling bricks are missing and mortar missing),Owner,"","",Cited,821
HSNG-25-1,"",Owner,"","",Cited,646
HSNG-25-1,"105.CMR.410.500 (A) 2  Owners Responsibility to Maintain Building and Structural Elements    (First floor to basement stairs, landing missing)105 CMR 410.520(A) Protective Railings and Walls(missing handrail and railing wall)",Owner,"","",Cited,647
HSNG-25-1,"105.CMR.410.500 (A) 2  Owners Responsibility to Maintain Building and Structural Elements     (Structural members unsound, rotted, in disrepair etc. floor boards broken, rotted. large hole etc..)",Owner,"","",Cited,648
HSNG-25-1,"",Owner,"","",Cited,658
HSNG-25-1,105 CMR 410.330 Smoke Detectors and Carbon Monoxide Alarms (A)(Smoke detectors and Carbon Monoxide Alarms not Working or Missing),Owner,"","",Cited,798
HSNG-25-1,"105 CMR 410.260 Means of Egress (A) (D,2 b-d)( Second floor means of egress rear collapse)",Owner,"","",Cited,1313404
HSNG-25-1,"  105.CMR.410.550 ( B) Elimination of Pest( INFESTATION OF ROACHES - RAT - MICE - Flies, numerous evidence of rat infestation around dwelling foundation)",Owner,"","",Cited,1313862
HSNG-25-1,"IMMEDIATE CONDEMNATION OF ENTIRE DWELLING DUE TO UNSAFE CONDITIONS105 CMR 410.630 Conditions Deemed to Endanger or Materially Impair Health or Safety(A,8,10,12,13,15,16,17)",Owner,"","",Cited,""
969460,"OBSTRUCTED EGRESS OR PASSAGEWAY 105.CMR.410.260 (COULD BE B,C,D)",Owner,"","",Corrected,547
969460,105 CMR 410. 330: Smoke Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors),Owner,"","",Corrected,553
969460,105 CMR 410. 330: Smoke Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors),Owner,"","",Corrected,554
969460,105 CMR 410. 330: Smoke Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors),Owner,"","",Corrected,559
969379,"IMMEDIATE CONDEMNATION—ENTIRE DWELLING DUE TO FIRE 105.CMR.410.003: (C)General Provisions (Electricity shut off to dwelling due to fire) 105 CMR 410.235:(A) (12-13) Owner’s Installation and Maintenance Responsibilities(electrical switches, fixtures wiring compromised due to fire, smokes damaged due to fire)105.CMR.410.330: (A)Smoke Detectors and Carbon Monoxide Alarms(smokes/ co2’s damaged due to fire 105.CMR 410.500(A)2 OWNER'S Responsibility to Maintain Building and Structural Elements  (SMOKE, WATER, FIRE DAMAGE TO WALLS, CEILING, FLOORS THROUGHOUT KITCHEN)105 CMR 410.500:(A)(1,2) Owner’s Responsibility To Maintain Building and Structural Elements ( smoke and water damage throughout dwelling due to fire)105.CMR.410.630: (A)(3,10,12,13,15 ) Conditions Deemed to Endanger or Materially Impair Health or Safety Exterior105.CMR.410.570:(1,3,4,5) Maintenance of area in a Sanitary and Safe Conditions",Owner,"","",Cited,1307529
